id,dataset_name,dataset_provider,dataset_type,variables_used,geographic_coverage,time_period,access_type,source_paper,evidence_sentence,citation,confidence,review_status,reviewer_notes
dataset-0071,Air Quality System,EPA,air quality monitoring,PM2.5; particulate matter; wildfire smoke,United States,not specified,public or controlled; verify source,Differential Cardiopulmonary Health Impacts of Local and Long-Range Transport of Wildfire Smoke.,"To estimate WFS PM, we developed a daily kriged PM surface at a 15 × 15 km resolution based on the Environmental Protection Agency Air Quality System monitors for the western United States; we subtracted out local seasonal-average PM of nonsmoky days, identified using satellite-based smoke plume estimates, from the local daily estimated PM if smoke was identified by National Oceanic and Atmospheric Administration's Hazard Mapping System.",PMID: 35281479,high,pending,
dataset-0072,Sentinel,ESA,satellite remote sensing,air pollution; air pollutants; lead; temperature,not specified,not specified,public or controlled; verify source,Socioeconomic development role in hospitalization related to air pollution and meteorology: A study case in southern Brazil.,"We analyze three main sources of data: (i) air pollutants density from TROPOMI/Sentinel-5p satellite; (ii) temperature, humidity, and planetary boundary layer height (PBLH) modeled with the Weather Research Forecast model; and (iii) hospitalization by cardiorespiratory diseases obtained from the Brazilian National Health System.",PMID: 35218847,high,pending,
dataset-0073,Medicare,CMS,health claims,PM2.5; particulate matter; temperature,United States,not specified,public or controlled; verify source,A Bayesian Multi-Outcome Analysis of Fine Particulate Matter and Cardiorespiratory Hospitalizations.,METHODS: We conducted a time-stratified case-crossover study of hospitalizations from 2000 through 2014 among United States Medicare beneficiaries aged 65+.,PMID: 35104259,high,pending,
dataset-0074,Medicare,CMS,health claims,not extracted,United States,not specified,public or controlled; verify source,The impact of Long-Term PM constituents and their sources on specific causes of death in a US Medicare cohort. 2.5,TITLE: The impact of Long-Term PM constituents and their sources on specific causes of death in a US Medicare cohort..,PMID: 34933236,high,pending,
dataset-0075,PRISM,PRISM Climate Group,climate gridded data,particulate matter,not specified,not specified,public or controlled; verify source,Prenatal PM exposure and infant temperament at age 6 months: Sensitive windows and sex-specific associations. 2.5,METHODS: Analyses included 559 mother-infant pairs enrolled in the PRogramming of Intergenerational Stress Mechanisms (PRISM) cohort.,PMID: 34922978,high,pending,
dataset-0076,Sentinel,ESA,satellite remote sensing,ambient air pollution; air pollution; air pollutants; NO2,not specified,not specified,public or controlled; verify source,Years of Life Lost (YLL) Due to Short-Term Exposure to Ambient Air Pollution in China: A Systematic Review and Meta-Analysis.,"Hence in this study, we selected China as sentinel region in order to conduct a meta-analysis to evaluate disease-specific YLL due to all the main ambient air pollutants.",PMID: 34769981,high,pending,
dataset-0077,Environmental Public Health Tracking,CDC,environmental public health tracking,PM2.5; particulate matter; ambient air pollution; air pollution,United States,not specified,public or controlled; verify source,"The association between air pollution and childhood asthma: United States, 2010-2015.",METHODS: Data from the nationally representative 2010-2015 National Health Interview Survey were linked to nationwide fine particulate matter (PM2.5) air pollution data at the county-level from the National Environmental Public Health Tracking Network which utilizes air quality monitoring stations and modeled PM measurements (Downscaler model data) and adjusted by county-level socioeconomic characteristics data from the 2010-2015 American Community Survey.,PMID: 34587862,high,pending,
dataset-0078,Medicare,CMS,health claims,air pollution; ozone; temperature; greenness,not specified,not specified,public or controlled; verify source,"Air pollution and cardiovascular disease hospitalization - Are associations modified by greenness, temperature and humidity?","METHODS: We constructed an open cohort consisting of all fee-for-service Medicare beneficiaries, aged ≥ 65, living in the contiguous US from 2000 through 2016 (~63 million individuals).",PMID: 34218186,high,pending,
dataset-0079,MODIS,NASA,satellite remote sensing,not extracted,United States,not specified,public or controlled; verify source,"The Summer 2019-2020 Wildfires in East Coast Australia and Their Impacts on Air Quality and Health in New South Wales, Australia.","The meteorological and air quality Weather Research and Forecasting with Chemistry (WRF-Chem) model is used together with the air quality monitoring data collected during the bushfire period and remote sensing data from the Moderate Resolution Imaging Spectroradiometer (MODIS) and Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation (CALIPSO) satellites to determine the extent of the wildfires, the pollutant transport and their impacts on air quality and health of the exposed population in NSW.",PMID: 33805472,high,pending,
dataset-0080,MODIS,NASA,satellite remote sensing,particulate matter,not specified,not specified,public or controlled; verify source,Retrospective assessment of pregnancy exposure to particulate matter from desert dust on a Caribbean island: could satellite-based aerosol optical thickness be used as an alternative to ground PM concentration? 10,MAIAC MODIS AOT retrievals in blue band (AOT) were extracted for the French Guadeloupe archipelago.,PMID: 33403634,high,pending,
dataset-0081,Medicare,CMS,health claims,heat,not specified,not specified,public or controlled; verify source,"Heatwaves, medications, and heat-related hospitalization in older Medicare beneficiaries with chronic conditions.","TITLE: Heatwaves, medications, and heat-related hospitalization in older Medicare beneficiaries with chronic conditions..",PMID: 33301532,high,pending,
dataset-0082,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,"Serum per- and polyfluoroalkyl substance (PFAS) concentrations and predictors of exposure among pregnant African American women in the Atlanta area, Georgia.","When compared to National Health and Nutrition Examination Survey (NHANES) participants matching sex, race, and age with this study, our results showed similar concentrations of most PFAS, but higher concentrations of PFHxS (GM 0.99 ng/mL in this study; 0.63 and 0.4 ng/mL in NHANES, 2014-2015 and 2016-2017 cycles).",PMID: 33186575,high,pending,
dataset-0083,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,PFAS (per- and polyfluoroalkyl substances) and asthma in young children: NHANES 2013-2014.,"TITLE: PFAS (per- and polyfluoroalkyl substances) and asthma in young children: NHANES 2013-2014 Per- and polyfluoroalkyl substances (PFAS) are a class of persistent chemicals used as industrial surfactants, fire-fighting foams, and textile treatments.",PMID: 32485600,high,pending,
dataset-0084,TRI,EPA,chemical release inventory,heat; temperature,not specified,not specified,public or controlled; verify source,A protocol for an observational cohort study of heat strain and its effect on fetal wellbeing in pregnant farmers in The Gambia.,"TITLE: A protocol for an observational cohort study of heat strain and its effect on fetal wellbeing in pregnant farmers in The Gambia Climate change predictions indicate that global temperatures are likely to exceed those seen in the last 200,000 years, rising by around 4°C above pre-industrial levels by 2100 (without effective mitigation of current emission rates).",PMID: 32292825,high,pending,
dataset-0085,Medicare,CMS,health claims,particulate matter; ozone; NO2; nitrogen dioxide; nitrogen dioxide (NO2),United States,not specified,public or controlled; verify source,The impact of long-term PM exposure on specific causes of death: exposure-response curves and effect modification among 53 million U.S. Medicare beneficiaries. 2.5,Medicare beneficiaries..,PMID: 32066433,high,pending,
dataset-0086,Air Quality System,EPA,air quality monitoring,PM2.5; ambient air pollution; air pollution; air pollutants; air pollutant,United States,not specified,public or controlled; verify source,"A case-crossover analysis of the relationship of air pollution with out-of-hospital sudden unexpected death in Wake County, North Carolina (2013-2015).","Using the University of North Carolina Sudden Unexpected Death in North Carolina population, we examine associations between short-term criteria air pollutant exposures with sudden unexpected deaths using a time-stratified case-crossover design, with data on criteria air pollutants from the Environmental Protection Agency's Air Quality System.",PMID: 31756798,high,pending,
dataset-0087,Environmental Public Health Tracking,CDC,environmental public health tracking,PM2.5; particulate matter; ambient air pollution; air pollution; ozone,United States,not specified,public or controlled; verify source,Ambient air pollution and in vitro fertilization treatment outcomes.,"METHODS: We linked 2010-2012 National ART Surveillance System data for fresh, autologous IVF cycles with the ambient air pollution data generated using a Bayesian fusion model available through the Centers for Disease Control and Prevention's Environmental Public Health Tracking Network.",PMID: 31504508,high,pending,
dataset-0088,PRISM,PRISM Climate Group,climate gridded data,heat; temperature,United States,not specified,public or controlled; verify source,"The impact of heat exposure on reduced gestational age in pregnant women in North Carolina, 2011-2015.",Gridded temperature data (PRISM) is used to establish exposure classifications.,PMID: 31367892,high,pending,
dataset-0089,TRI,EPA,chemical release inventory,PFAS; PFOS,not specified,not specified,public or controlled; verify source,Perfluoroalkyl and polyfluoroalkyl substances and fetal thyroid hormone levels in umbilical cord blood among newborns by prelabor caesarean delivery.,"Free tri-iodothyronine (FT3) levels were positively associated with concentrations of PFOS (β = 0.059, 95% CI: 0.023, 0.100), but negatively associated with PFDoA (β = -0.153, 95% CI: -0.212, -0.106).",PMID: 31228788,high,pending,
dataset-0090,Medicare,CMS,health claims,PM2.5; air pollution,United States,not specified,public or controlled; verify source,Accountability Assessment of Health Improvements in the United States Associated with Reduced Coal Emissions Between 2005 and 2012.,We associate changes in 10 health outcome rates among approximately 30 million US Medicare beneficiaries with exposure changes between 2005 and 2012 using two difference-in-difference regression approaches designed to mitigate observed and unobserved confounding..,PMID: 31162280,high,pending,
dataset-0091,Air Quality System,EPA,air quality monitoring,particulate matter; ambient air pollution; air pollution; air pollutant; ozone,not specified,not specified,public or controlled; verify source,Longitudinal Effect of Ambient Air Pollution and Pollen Exposure on Asthma Control: The Patient-Reported Outcomes Measurement Information System (PROMIS) Pediatric Asthma Study.,PM and O data were collected from the US Environmental Protection Agency Air Quality System.,PMID: 31128384,high,pending,
dataset-0092,Environmental Public Health Tracking,CDC,environmental public health tracking,particulate matter; air pollution; ozone,United States,not specified,public or controlled; verify source,Age-Specific Associations of Ozone and Fine Particulate Matter with Respiratory Emergency Department Visits in the United States.,"To address this gap, the Centers for Disease Control and Prevention's National Environmental Public Health Tracking Program collected respiratory emergency department (ED) data from 17 states..",PMID: 30277796,high,pending,
dataset-0093,TRI,EPA,chemical release inventory,particulate matter,not specified,not specified,public or controlled; verify source,Lipophilic components of diesel exhaust particles induce pro-inflammatory responses in human endothelial cells through AhR dependent pathway(s).,"BACKGROUND: Exposure to traffic-derived particulate matter (PM), such as diesel exhaust particles (DEP), is a leading environmental cause of cardiovascular disease (CVD), and may contribute to endothelial dysfunction and development of atherosclerosis.",PMID: 29751765,high,pending,
dataset-0094,ToxCast,EPA,toxicity screening,particulate matter; air pollution,not specified,not specified,public or controlled; verify source,"Cardiopulmonary consequences of gestational toxicant exposure: Symposium overview at the 56th annual SOT meeting, Baltimore, MD.",ToxCast™) with computational models for in silico toxicology.,PMID: 29709519,high,pending,
dataset-0095,NHANES,CDC/NCHS,biomonitoring and health survey,PM2.5; particulate matter; air pollution; ozone; temperature,United States,not specified,public or controlled; verify source,Systemic inflammatory markers associated with cardiovascular disease and acute and chronic exposure to fine particulate matter air pollution (PM) among US NHANES adults with metabolic syndrome. 2.5,TITLE: Systemic inflammatory markers associated with cardiovascular disease and acute and chronic exposure to fine particulate matter air pollution (PM) among US NHANES adults with metabolic syndrome..,PMID: 29223110,high,pending,
dataset-0096,Environmental Public Health Tracking,CDC,environmental public health tracking,particulate matter; wildfire smoke,United States,not specified,public or controlled; verify source,Developing an online tool for identifying at-risk populations to wildfire smoke hazards.,"The final product will then be incorporated into CDC's National Environmental Public Health Tracking Network (http://ephtracking.cdc.gov), providing users with access to a suite of mapping and display functionalities.",PMID: 29156258,high,pending,
dataset-0097,Medicare,CMS,health claims,PM2.5; particulate matter; air pollution,not specified,not specified,public or controlled; verify source,Estimating the Causal Effect of Low Levels of Fine Particulate Matter on Hospitalization.,"METHODS: We constructed a cohort of 32,119 Medicare beneficiaries residing in 5138 US ZIP codes who were interviewed as part of the Medicare Current Beneficiary Survey (MCBS) between 2002 and 2010 and had 1 year of follow-up.",PMID: 28768298,high,pending,
dataset-0098,PRISM,PRISM Climate Group,climate gridded data,particulate matter,United States,not specified,public or controlled; verify source,Prenatal exposure to PM and birth weight: A pooled analysis from three North American longitudinal pregnancy cohort studies. 2.5,"Analyses included mother-child dyads (N=1966) from the Asthma Coalition on Community Environment and Social Stress (ACCESS) Project and the PRogramming of Intergenerational Stress Mechanisms (PRISM) study in the northeastern United States, and the Programming Research in",PMID: 28738263,high,pending,
dataset-0099,Landsat,USGS/NASA,satellite remote sensing,heat; temperature,not specified,not specified,public or controlled; verify source,"A heat vulnerability index to improve urban public health management in San Juan, Puerto Rico.",Land surface temperature was assessed using images from the Thermal Infrared Sensor flown on Landsat 8.,PMID: 28210860,high,pending,
dataset-0100,Environmental Public Health Tracking,CDC,environmental public health tracking,particulate matter; ambient air pollution; air pollution; ozone,United States,not specified,public or controlled; verify source,Maternal exposure to ozone and PM and the prevalence of orofacial clefts in four U.S. states. 2.5,The air pollution exposure assessment for gestational weeks 5-10 was based on county-level average concentrations of PM and ozone data generated using a Bayesian fusion model available through CDC's Environmental Public Health Tracking Network.,PMID: 27888746,high,pending,
dataset-0101,Medicare,CMS,health claims,particulate matter,United States,not specified,public or controlled; verify source,Airborne Fine Particles and Risk of Hospital Admissions for Understudied Populations: Effects by Urbanicity and Short-Term Cumulative Exposures in 708 U.S. Counties.,"METHODS: We utilized a database of daily cardiovascular- and respiratory-related hospitalization rates constructed from Medicare National Claims History files (2002-2006), including 28 million Medicare beneficiaries in 708 counties.",PMID: 27649448,high,pending,
dataset-0102,Air Quality System,EPA,air quality monitoring,PM2.5; particulate matter,United States,not specified,public or controlled; verify source,Intrauterine Inflammation and Maternal Exposure to Ambient PM2.5 during Preconception and Specific Periods of Pregnancy: The Boston Birth Cohort.,EPA's Air Quality System.,PMID: 27120296,high,pending,
dataset-0103,Air Quality System,EPA,air quality monitoring,PM2.5; particulate matter; ambient air pollution; air pollution; air pollutants,United States,not specified,public or controlled; verify source,"Association between Ambient Air Pollution and Asthma Prevalence in Different Population Groups Residing in Eastern Texas, USA.",EPA)'s air quality system data mart program.,PMID: 27043587,high,pending,
dataset-0104,Air Quality System,EPA,air quality monitoring,PM2.5; PM10; air pollution; air pollutants; air pollutant,United States,not specified,public or controlled; verify source,Prenatal Air Pollution Exposure and Early Cardiovascular Phenotypes in Young Adults.,Environmental Protection Agency's Air Quality System (AQS) database.,PMID: 26950592,high,pending,
dataset-0105,NHANES,CDC/NCHS,biomonitoring and health survey,PM2.5; PM10; particulate matter; air pollution; ozone,United States,not specified,public or controlled; verify source,Association of exposure to particulate matter (PM2.5) air pollution and biomarkers of cardiovascular disease risk in adult NHANES participants (2001-2008).,TITLE: Association of exposure to particulate matter (PM2.5) air pollution and biomarkers of cardiovascular disease risk in adult NHANES participants (2001-2008) BACKGROUND AND..,PMID: 26725170,high,pending,
dataset-0106,NHANES,CDC/NCHS,biomonitoring and health survey,PM10; particulate matter; air pollution,not specified,not specified,public or controlled; verify source,Particulate Air Pollution and Clinical Cardiovascular Disease Risk Factors.,"We examined the relationship of PM with levels of circulating lipids and blood pressure in the Third National Health and Nutrition Examination Survey (NHANES III), a large nationally representative US survey..",PMID: 26605815,high,pending,
dataset-0107,Air Quality System,EPA,air quality monitoring,PM2.5; air pollution; air pollutant,not specified,not specified,public or controlled; verify source,Associations between exposure to ambient benzene and PM(2.5) during pregnancy and the risk of selected birth defects in offspring.,"Estimates of maternal exposures to PM2.5 and benzene for all case and non-case pregnancies were derived by aggregation of ambient measurement data, obtained from the US Environmental Protection Agency Air Quality System, during etiologically relevant time windows.",PMID: 26196779,high,pending,
dataset-0108,Environmental Public Health Tracking,CDC,environmental public health tracking,particulate matter,not specified,not specified,public or controlled; verify source,Associations Between Residential Proximity to Power Plants and Adverse Birth Outcomes.,Prenatal exposure to particulate matter less than 2.5 µm in diameter for women living near different types of power plants was also determined by using National Environmental Public Health Tracking Network data.,PMID: 26121989,high,pending,
dataset-0109,Medicare,CMS,health claims,PM2.5,not specified,not specified,public or controlled; verify source,Ambient PM2.5 and Risk of Hospital Admissions: Do Risks Differ for Men and Women?,"METHODS: We used Bayesian hierarchical modeling to estimate associations between PM2.5, based on ambient monitors, and risk of cause-specific cardiovascular and respiratory hospitalizations for about 12.6 million Medicare beneficiaries (>65 years) residing in 213 US counties for 1999-2010..",PMID: 25906368,high,pending,
dataset-0110,CHARLS dataset,not specified in abstract,research dataset,not extracted,not applicable / not specified,not specified in abstract,not specified in abstract,Causal association between PM and metabolic syndrome in the Chinese elderly population-insights from a cohort study of CHARLS. 2.5,"Biochemical data, demographic data and health behavior data were obtained from CHARLS dataset in 2011 and 2015, and the individual information was matched to obtain the two-wave panel data.",PMID: 40301484,high,pending,
