id,evidence_type,population,comparator,predictor_or_exposure,health_outcome,study_design,effect_direction,effect_estimate,sample_size,population_size,study_period,data_source,recruitment_site,enrollment_site,study_site,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
clin-0292,clinical / observational study,pregnant women/infants,not specified,Logistic regression model was used to analyze the associations of maternal greenness exposure with LBW and small for gestational age (SGA).,birth weight/fetal growth,observational study,positive association,Each 0.1-unit rise of NDVI within the 3000-m buffer (NDVI-) was associated with an estimated odds of 0.902 (95% confidence interval [CI]: 0.900-0.905) for LBW and 0.887 (95% CI: 0.886-0.889) for SGA.,not reported,not reported,2013-2018,not specified,not specified,not specified,not specified,regression models,We observed consistently lower LBW and SGA risks in relation to greater greenness within buffers of 500-3000 m.,PMID: 41254585,Prenatal greenness exposure and the decreased risk of low birthweight and small for gestational age: modification and mediation effects of air pollution,medium,pending,
clin-0293,clinical / observational study,participants in the European Human Early-Life Exposome cohort,not specified,mixtures of environmental chemicals and adolescence attentional problems: a triangulation study,clinical / health outcome described in the abstract,cohort study,positive association,"In single exposure models, higher levels of several chemicals were associated with fewer attentional problems (prenatal PFOS, β and 95 % confidence interval (CI) for a unit increase from 0 to 1: -0.86 (-1.63, -0.09); prenatal PFHxS: -1.32 (-2.44, -0.21); childhood BUPA: -0.78 (-1.27, -0.29)).","1,658 participants","1,658 participants",not specified,not specified,not specified,not specified,not specified,regression models,"In single exposure models, higher levels of several chemicals were associated with fewer attentional problems (prenatal PFOS, β and 95 % confidence interval (CI) for a unit increase from 0 to 1: -0.86 (-1.63, -0.09); prenatal PFHxS: -1.32 (-2.44, -0.21); childhood BUPA: -0.78 (-1.27, -0.29)).",PMID: 41252940,Prenatal and childhood exposure to mixtures of environmental chemicals and adolescence attentional problems: a triangulation study,high,pending,
clin-0294,clinical epidemiology cohort,cohort participants,not specified,clinical predictors / cohort factors,kidney metabolic markers,prospective cohort study,positive association,not extracted,"36,144 participants",not reported,2010-2022,a national cohort,not specified,not specified,a national cohort,not extracted,"Four multimorbidity patterns emerged: Musculoskeletal-Dominant (3.4%), Cardiopulmonary (3.4%), Cardiovascular-Metabolic (9.5%), and Digestive-Dominant (2.6%).",PMID: 41250012,Air pollution exposure and multimorbidity patterns: evidence from a national cohort study in China,medium,pending,
clin-0295,cross-sectional clinical / observational study,adults aged ≥18 years from National Syndromic Surveillance Program data using discharge diagnosis codes,not specified,"extreme heat and wildfire-related hazards, such as poor air quality, can increase the risk of acute cardiovascular events",cardiovascular,cross-sectional analysis,positive association,"During May-September 2023, the daily acute myocardial infarction-related emergency department visit rate (699.5 acute myocardial infarction-related emergency department visits per 100,000) was 16.5% (95% CI=14.8, 18.2) higher than the rate in 2018-2022 (600.4 acute myocardial infarction-related emergency department visits per 100,000).",not reported,not reported,2018-2023,not specified,not specified,not specified,not specified,not extracted,"During May-September 2023, the daily acute myocardial infarction-related emergency department visit rate (699.5 acute myocardial infarction-related emergency department visits per 100,000) was 16.5% (95% CI=14.8, 18.2) higher than the rate in 2018-2022 (600.4 acute myocardial infarction-related emergency department visits per 100,000).",PMID: 41245745,"Emergency Department Utilization for Acute Myocardial Infarction, U.S., May-September 2018-2023",medium,pending,
clin-0296,clinical / observational study,older adults,not specified,fine particulate matter (PM2,mortality; asthma,case-crossover study,positive association,"The highest quartile of PM2.5 exposure (lag 0) was associated with a higher odds ratio for mortality (aOR 1.048, 95% CI 1.020-1.076, p for trend = .024) compared to the lowest quartile.",not reported,not reported,2015-2021,not specified,not specified,not specified,not specified,logistic regression,"The highest quartile of PM2.5 exposure (lag 0) was associated with a higher odds ratio for mortality (aOR 1.048, 95% CI 1.020-1.076, p for trend = .024) compared to the lowest quartile.",PMID: 41237049,Short-term PM2.5 exposure and mortality in older adults with asthma in South Korea,medium,pending,
clin-0297,clinical / observational study,pregnant women/infants/children,not specified,ambient air pollution during pregnancy and risk of early-onset breast cancer,cancer,cohort study,positive association,"All exposures during pregnancy periods were positively associated with breast cancer, with the highest HR observed for exposure to PM during the last pregnancy (HR = 1.12 (95% CI = 1.04, 1.20) per 5 μg/m increase).","1,019,076 women","1,019,076 women",1991-2015,"nationwide data from Swedish registers, we constructed a cohort",not specified,not specified,"nationwide data from Swedish registers, we constructed a cohort",not extracted,"All exposures during pregnancy periods were positively associated with breast cancer, with the highest HR observed for exposure to PM during the last pregnancy (HR = 1.12 (95% CI = 1.04, 1.20) per 5 μg/m increase).",PMID: 41233900,Exposure to ambient air pollution during pregnancy and risk of early-onset breast cancer,medium,pending,
clin-0298,real-world prospective observational treatment study,cohort participants,baseline / change from baseline; cohort B limited,real-world treatment exposure,kidney inflammatory markers,real-world prospective observational treatment study,not reported in pasted abstract,not extracted,"17,412 individuals",not reported,not specified,not specified,not specified,not specified,not specified,not extracted,,PMID: 41232188,Integrative epidemiological and spatial multi-omics analyses reveal SPP1⁺ macrophages with senescence-like features as key mediators linking NO₂ exposure to coronary heart disease,medium,pending,
clin-0299,prospective clinical / observational study,children,not specified,"higher outdoor air pollution, exacerbating existing health inequalities",mortality; asthma,prospective observational study,positive association,"South Asian homes had higher PM2.5 concentration than White British or Other ethnicity homes (23.5 µg/m3, 17.1 µg/m3, and 16.5 µg/m3 respectively).",321 households,321 households,not specified,Born in Bradford cohort,not specified,not specified,Born in Bradford cohort,not extracted,"South Asian homes had higher PM2.5 concentration than White British or Other ethnicity homes (23.5 µg/m3, 17.1 µg/m3, and 16.5 µg/m3 respectively).",PMID: 41214648,Inequalities and indoor air pollution: a prospective observational study of particulate matter (PM) levels in 309 UK homes from the Born in Bradford cohort study,medium,pending,
clin-0300,clinical / observational study,pregnant women/infants,not specified,ambient air pollution,clinical / health outcome described in the abstract,observational study,positive association,"Higher prenatal levels of BC, NO2, and PM were associated with downregulated gene expression of the central AMPK gene cluster and multiple upstream and downstream cascades of the AMPK signaling pathway.",not reported,not reported,not specified,not specified,not specified,not specified,not specified,mixed-effects models,"Higher prenatal levels of BC, NO2, and PM were associated with downregulated gene expression of the central AMPK gene cluster and multiple upstream and downstream cascades of the AMPK signaling pathway.",PMID: 41202956,Placental gene expression of the AMPK signaling pathway in association with gestational exposure to ambient air pollution,medium,pending,
clin-0301,clinical / observational study,patients were collected in Shandong Province and Beijing,not specified,PM and its components was related to increase incidence of MACE in ACS patients,cardiovascular; hypertension,cohort study,positive association,"The hazard ratio (HR) of MACE was 1.30 [95 % confidence intervals (CIs): 1.16, 1.46] for each interquartile range (IQR) increase of PM.",5407 patients,5407 patients,2017-2019,not specified,not specified,not specified,not specified,mixed-effects models,"During 2017-2019, data from 5407 ACS patients were collected in Shandong Province and Beijing.",PMID: 41202605,Association between particulate matter exposure with major adverse cardiovascular events and the modification of medical history and green space: A cohort study,high,pending,
clin-0302,prospective clinical / observational study,participants' residence,not specified,"Logistic regression was applied to evaluate the risk of left ventricular hypertrophy (LVH), and restricted cubic splines were employed to characterize the exposure-response relationships within the identified windows.",cardiovascular; maternal blood pressure,prospective observational study,positive association,"Among 1,100 children (525 girls [47.7 %]), 56 [5.1 %] had LVH.Gestational weeks 9-16 were identified as the critical window of susceptibility, during which heat exposure above the 95 percentile was associated with an increased risk of LVH (OR = 1.37, 95 % CI 1.26-1.50).","1,100 children","1,100 children",2018-2021,a prospective birth cohort,not specified,not specified,a prospective birth cohort,"adjustment for maternal, child, and environmental covariates","Among 1,100 children (525 girls [47.7 %]), 56 [5.1 %] had LVH.Gestational weeks 9-16 were identified as the critical window of susceptibility, during which heat exposure above the 95 percentile was associated with an increased risk of LVH (OR = 1.37, 95 % CI 1.26-1.50).",PMID: 41202460,Prenatal heat exposure and childhood cardiovascular development: evidence from a prospective birth cohort in Shanghai,high,pending,
clin-0303,longitudinal clinical / observational study,participants in the UK Biobank cohort aged ≥60 years without dementia diagnosis or CVD hospitalization at baseline (2015),not specified,compared with hypothetical PM interventions on the 5-year risk of dementia,cardiovascular,longitudinal observational study,positive association,"By setting all participants free from CVD hospitalization, the controlled direct effect was an increase of 2.82 (95% CI = 0.74, 3.30) cases per 1000 participants.","283,813 participants","283,813 participants",2015,not specified,not specified,not specified,not specified,not extracted,"Compared with the hypothetical intervention of reducing particulate matter exposure by 10% if it is above the standard of 10 µg/m, the total effect of no PM intervention increased the 5-year dementia risk by 3.77 (95% confidence interval [CI] = 1.47, 4.39) cases per 1000 participants.",PMID: 41200148,The role of cardiovascular disease as a mediator in mitigating the impact of ambient particulate matter on dementia risk.,medium,pending,
clin-0304,clinical epidemiology cohort,pregnant women/infants/children,not specified,clinical predictors / cohort factors,preterm birth,prospective cohort study,null / no clear association,not extracted,5807,not reported,2006-2020,not specified,not specified,not specified,with residences,logistic regression; machine learning models,"In this cohort analysis, we included live singleton births recorded in the ECHO Cohort with available data on gestational age at birth and birthweight and dates of conception between Jan 1, 2006, and March 20, 2020.",PMID: 41197644,Wildfire-specific fine particulate matter and preterm birth: a US ECHO Cohort analysis,medium,pending,
clin-0305,clinical epidemiology cohort,older adults,not specified,clinical predictors / cohort factors,major adverse kidney events,prospective cohort study,positive association,"OR=0.66, 95% CI 0.45-0.96",not reported,not reported,1985-1994,not specified,not specified,not specified,not specified,adjusted logistic regression,"In 560 women (67-80 years), chronic lung disease was present in 156.",PMID: 41188008,Interaction between genetic predisposition to successful ageing and chronic air pollution on lung disease in elderly women: results of the German SALIA cohort,high,pending,
clin-0306,cross-sectional clinical / observational study,children,not specified,primary study factor described in the abstract,asthma; respiratory; hypertension,cross-sectional analysis,higher risk,"The results showed a higher risk of respiratory symptoms in children with a history of asthma or malnutrition living in homes with large windows that allow air to enter and exit, and in adults with a history of asthma, hypertension, or cigarette smoking.",not reported,not reported,2025,not specified,not specified,not specified,not specified,not extracted,"The results showed a higher risk of respiratory symptoms in children with a history of asthma or malnutrition living in homes with large windows that allow air to enter and exit, and in adults with a history of asthma, hypertension, or cigarette smoking.",PMID: 41186339,"Factors associated with respiratory symptoms in communities living near to and away from the railway used for coal transportation in La Guajira, Colombia",medium,pending,
clin-0307,clinical trial / intervention study,older adults,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",randomized clinical trial,intervention effect evaluated,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"Foot immersion and neck cooling have been proposed as practical, non-electrical cooling strategies for protecting older adults during heatwaves, though evidence supporting their efficacy is limited.",PMID: 41178782,"Effect of foot immersion and neck cooling on renal, intestinal, immune and inflammatory markers in older adults exposed to extreme heat",medium,pending,
clin-0308,clinical epidemiology cohort,cohort participants,not specified,clinical predictors / cohort factors,mortality; therapy safety,prospective cohort study,positive association,not extracted,"318,282 participants",not reported,not specified,UK Biobank who were free of COPD and CVD at baseline in this prospective cohort,not specified,not specified,UK Biobank who were free of COPD and CVD at baseline in this prospective cohort,not extracted,"During a median follow-up period of 13.5 years, 6901 participants developed COPD; 2207 of whom subsequently developed CVD, and 15,921 participants died.",PMID: 41175703,Dynamic associations between long-term exposure to ambient air pollution and respiratory-cardiovascular diseases: A trajectory analysis of a prospective study,medium,pending,
clin-0309,clinical trial / intervention study,children,not specified,the intervention versus control group and experienced two 76-day exposure sessions separated by an 88-day washout period,"kidney molecular, vascular, inflammatory, and metabolic markers",randomized clinical trial,biological effect observed,not extracted,79 children,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"We conducted a randomized, double-blind, crossover trial of midterm, all-day, multisetting air purification among healthy children in China to investigate cardiovascular benefits of mitigating fine particulate matter (PM2.5) levels and explore potential biological mechanisms.",PMID: 41159550,"Cardiovascular Benefits of Air Purification in Children: Comprehensive Insights from a Randomized, Double-Blind, Crossover Trial",medium,pending,
clin-0310,cross-sectional clinical / observational study,"adults and 22 variables: outcomes (systolic/diastolic blood pressure, total/LDL/HDL cholesterol, triglycerides) and predictors (BMI, C-reactive protein (CRP), allostatic load, Dietary Inflammatory Index, income, education, age, gender, race, smoking, alcohol, and serum lead, cadmium, mercury, and PFOA)",not specified,of CVD risk using Bayesian network models,cardiovascular; immune/inflammation; maternal blood pressure,cross-sectional analysis,not extracted,not extracted,601 adults,601 adults,2017-2018,not specified,not specified,not specified,not specified,not extracted,A cross-sectional analysis was conducted using NHANES 2017-2018 data.,PMID: 41154955,"Bayesian Network Modeling of Environmental, Social, and Behavioral Determinants of Cardiovascular Disease Risk",medium,pending,
clin-0311,cross-sectional clinical / observational study,pregnant women/infants,seasonal/time-of-year patterns,season / time of year; temperature (seasonal context),clinical / health outcome described in the abstract,cross-sectional analysis,not extracted,not extracted,not reported,not reported,2019-2022,not specified,not specified,not specified,not specified,not extracted,.,PMID: 41154249,Seasonal and Environmental Determinants of Maternal and Neonatal Vitamin D Status: A Cross-Sectional Observational Cohort Study in Urban Greece,medium,pending,
clin-0312,clinical trial / intervention study,pregnant women/infants/children,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"As individuals spend approximately 90% of their time indoors, exposure to indoor pollutants-such as particulate matter, volatile organic compounds (VOCs), polycyclic aromatic hydrocarbons (PAHs), and microbial contaminants-can lead to significant health risks.",PMID: 41153469,Medical-Legal Liability and Indoor Air Pollution in Non-Industrial Environments and Perspectives for Maternal and Child Health,medium,pending,
clin-0313,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,birth weight; pregnancy outcomes; diabetes; reproductive,retrospective cohort study,positive association,not extracted,"33,060 pregnancies",not reported,2017-2022,not specified,not specified,not specified,not specified,logistic regression,The results showed that exposure to air pollution during pregnancy increased the risk of both LBW and macrosomia.,PMID: 41146225,Air pollution exposure during pregnancy and low birth weight and macrosomia: the role of gestational diabetes mellitus,medium,pending,
clin-0314,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",randomized clinical trial,intervention effect evaluated,"OR = 1.01, 95% CI: 1.00-1.02","9,830 participants",not reported,2015,not specified,not specified,not specified,not specified,generalized linear models,"In fully adjusted analyses, each IQR increase in PM10 was associated with elevated CMM risk (OR = 1.01, 95% CI: 1.00-1.02, P = 0.039).",PMID: 41136487,Long-term exposure to ambient air pollution and cardiometabolic multimorbidity in Chinese adults over 45 years,medium,pending,
clin-0315,real-world prospective observational treatment study,cohort participants,baseline / change from baseline; cohort B limited,real-world treatment exposure,not extracted,real-world prospective observational treatment study,not reported in pasted abstract,not extracted,not reported,not reported,2017-2022,not specified,not specified,not specified,not specified,linear regression,"Over 60 months, SABA sales were 14.8% lower in TF compared with GC, while ICS-LABA sales were 10.9% higher.",PMID: 41133516,Influence of Saharan Dust Intrusions on Respiratory Medication Dispensing,low,pending,
clin-0316,clinical trial / intervention study,"This nationwide, time-stratified case-crossover study was conducted in Sweden among 250 640 patients with heart failure who died from any cause from 2006 to 2021, identified from the Swedish National Patient Register and the Cause of Death Register.",not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,intervention effect evaluated,OR of 1.160,not reported,not reported,2014-2021,not specified,not specified,not specified,not specified,not extracted,"The mean (SD) age at death among patients with heart failure was 84.3 (9.4) years, with 121 061 female patients (48.3%).",PMID: 41123904,Short-Term Exposure to Low and High Temperatures and Mortality Among Patients With Heart Failure in Sweden,medium,pending,
clin-0317,clinical / observational study,"participants with asthma exposed to ambient air pollutants, NO2, PM, PM, O, elemental carbon (EC), and NOx",not specified,"air pollution is known to contribute to the development and exacerbation of asthma symptoms, impacting respiratory health through complex, not yet fully understood biological mecha",asthma; respiratory,cohort study,positive association,"Three CpG sites in whole blood-cg04605532 (p = 0.0004), cg05492904 (p = 0.0008), and cg23622322 (p = 0.001)- and one CpG in CD4 + cells -cg10022248 (p = 0.0084)-were associated with air pollution exposure and linked to asthma control.",651 participants,651 participants,not specified,not specified,not specified,not specified,not specified,not extracted,"Three CpG sites in whole blood-cg04605532 (p = 0.0004), cg05492904 (p = 0.0008), and cg23622322 (p = 0.001)- and one CpG in CD4 + cells -cg10022248 (p = 0.0084)-were associated with air pollution exposure and linked to asthma control.",PMID: 41121238,DNA methylation: a potential mediator between air pollution exposures and asthma control,medium,pending,
clin-0318,clinical / observational study,pregnant women/infants/children,not specified,primary study factor described in the abstract,diabetes,observational study,positive association,"Mothers with GDM had 15% (95% confidence intervals [CI]: 5%, 25%) and 123% (95% CI: 32%, 214%) higher TTRs for oxybenzone and BPS respectively as compared to mothers without GDM",not reported,not reported,2009-2010,not specified,not specified,not specified,not specified,not extracted,"GDM was significantly associated with higher TTRs for perfluorooctanoic, perfluorononanoic, and perfluoroheptanoic acids, BPS, monoethyl phthalate, and oxybenzone.",PMID: 41110290,Transplacental transfer efficiency of environmental chemicals in association with gestational diabetes mellitus,medium,pending,
clin-0319,longitudinal clinical / observational study,"participants in KORA S4 (1999-2001) and 1,912 in KORA FF4 (2013-2014)",not specified,"PM and NO impacts cardiac autonomic function, with varying effects across study waves due to aging, smoking, medication, and lower pollution levels",cardiovascular; immune/inflammation,longitudinal observational study,positive association,"In S4, each IQR increase in PM at the 14-day moving average was associated with a 2.32% (95% CI: - 4.41, - 0.19) decrease in SDNN and a 1.20% (95% CI: 0.16, 2.26) increase in HR.","4,032 participants","4,032 participants",1999-2001,not specified,not specified,not specified,not specified,generalized additive models,"In S4, each IQR increase in PM at the 14-day moving average was associated with a 2.32% (95% CI: - 4.41, - 0.19) decrease in SDNN and a 1.20% (95% CI: 0.16, 2.26) increase in HR.",PMID: 41107970,Short-term association between ambient air pollution and heart rate variability: results from the population-based KORA S4 and FF4 studies,high,pending,
clin-0320,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,diabetes; hypertension,longitudinal ecological/neighborhood-level study,positive association,not extracted,819 participants,not reported,2009-2014,not specified,not specified,not specified,not specified,generalized linear models,"First trimester warm season exposure was associated with increased odds of gestational hypertension (adjusted odds ratio [AOR] 4.50, 95%CI 1.17-17.27), preeclampsia (AOR 4.38, 95%CI 1.51-12.75), and genitourinary infection (AOR 2.27, 95%CI 1.14-4.51).",PMID: 41104120,Association of early pregnancy warm season exposure and neighborhood heat vulnerability with adverse maternal outcomes: A retrospective cohort study,medium,pending,
clin-0321,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",randomized clinical trial,biological effect observed,not extracted,80 students,not reported,not specified,not specified,not specified,not specified,not specified,linear mixed-effects models,"We found reducing indoor PM significantly improved nasal and systemic immunity, but not overall cardiorespiratory function.",PMID: 41101164,"Cardiorespiratory benefits of reducing indoor particulate matter depend on immune improvements: Insights into individual heterogeneity from a randomized, double-blind crossover trial",medium,pending,
clin-0322,cross-sectional clinical / observational study,study participants,not specified,"air pollutants, vascular aging, and body composition in a Swiss population sample",cardiovascular,cross-sectional analysis,not extracted,not extracted,not reported,not reported,2002-2017,not specified,not specified,not specified,not specified,adjustment for major cardiovascular risk factors,.,PMID: 41096050,"Air Pollution, Body Composition, and Vascular Age in Southern Switzerland: A Cross-Sectional Population Study",medium,pending,
clin-0323,clinical / observational study,older adults,not specified,"fine particulate matter constituents and sudden cardiac death: A case-crossover study in Fujian Province, China",clinical / health outcome described in the abstract,case-crossover study,higher risk,"Short-term exposure to PM and its constituents was associated with an increased risk of SCD, especially for sulfate (SO) (odds ratio [OR] = 1.05, 95 % confidence interval [CI]: 1.03-1.08).","19,501 cases","19,501 cases",2013-2023,not specified,not specified,not specified,not specified,not extracted,"Short-term exposure to PM and its constituents was associated with an increased risk of SCD, especially for sulfate (SO) (odds ratio [OR] = 1.05, 95 % confidence interval [CI]: 1.03-1.08).",PMID: 41086695,"Association between short-term exposure to fine particulate matter constituents and sudden cardiac death: A case-crossover study in Fujian Province, China",medium,pending,
clin-0324,clinical epidemiology / health equity cohort,pregnant women/infants/children,not specified,clinical predictors / cohort factors,therapy safety,cohort study,higher risk,not extracted,955 women,not reported,2002-2013,not specified,not specified,not specified,not specified,not extracted,Both boys and girls were at higher risk of asthma when considering joint effects.,PMID: 41083639,Association between prenatal ambient particulate matter and childhood asthma is modified by community safety and child sex,medium,pending,
clin-0325,prospective clinical / observational study,"children were assessed through structural, diffusion-weighted, and functional MRI",not specified,perfluoroalkyl substances predicts multimodal brain structural and functional outcomes in children aged 5 years: a birth cohort study,autism spectrum disorder,prospective observational study,not extracted,not extracted,not reported,not reported,2011-2020,not specified,not specified,not specified,not specified,linear regression,"This study was set within the FinnBrain Birth Cohort Study, a prospective observational study that enrolled mothers from three clinics in Turku, Finland, during their first trimester of pregnancy.",PMID: 41077058,Prenatal exposure to perfluoroalkyl substances predicts multimodal brain structural and functional outcomes in children aged 5 years: a birth cohort study,low,pending,
clin-0326,clinical / observational study,pregnant women/infants,not specified,"of per- and poly-fluoroalkyl substances in maternal plasma, relative to timelines of EPA PFOA Stewardship",clinical / health outcome described in the abstract,cohort study,positive association,"PFOS, PFOA, PFHxS, PFHpS, and Me-PFOSA-AcOH decreased by up to 88 % during PFOA reduction-period (2006-2009) or elimination-period (2010-2016) compared to pre-policy (1999-2005), regardless of race/ethnicity; PFNA, PFUnA, PFDeA, PFDoA, and GenX increased by up to 104 % among non-White mothers.",not reported,not reported,1999-2016,not specified,not specified,not specified,not specified,not extracted,"PFOS, PFOA, PFHxS, PFHpS, and Me-PFOSA-AcOH decreased by up to 88 % during PFOA reduction-period (2006-2009) or elimination-period (2010-2016) compared to pre-policy (1999-2005), regardless of race/ethnicity; PFNA, PFUnA, PFDeA, PFDoA, and GenX increased by up to 104 % among non-White mothers.",PMID: 41075712,"Changes in the levels and predictors of per- and poly-fluoroalkyl substances in maternal plasma, relative to timelines of EPA PFOA Stewardship",medium,pending,
clin-0327,clinical / observational study,older adults,not specified,Ambient Air Pollutants and Risk of Acute Aortic Dissection: Evidence From 162 Chinese Cities,clinical / health outcome described in the abstract,case-crossover study,positive association,Increases in PM10 (RR = 1.019 per 10 μg/m 3 ) and CO (RR = 1.184 per 1 mg/m 3 ) were associated with higher AAD risk.,3125 cases,3125 cases,not specified,not specified,not specified,not specified,not specified,logistic regression,Increases in PM10 (RR = 1.019 per 10 μg/m 3 ) and CO (RR = 1.184 per 1 mg/m 3 ) were associated with higher AAD risk.,PMID: 41058013,Hourly Exposure to Ambient Air Pollutants and Risk of Acute Aortic Dissection: Evidence From 162 Chinese Cities,high,pending,
clin-0328,clinical / observational time-series study,"patients in Shandong Province, China, we applied a time-stratified case-crossover design with inverse-probability weighting (IPW) to address time-varying confounding, estimating single-day and cumulative lag (0-7 days) associations between nocturnal heat exposure and mortality","seasonal/time-of-year patterns, evaluated separately by sex",temperature (seasonal context),cardiovascular mortality,case-crossover study,positive association,"Nocturnal heat exposure was associated with an elevated mortality risk among stroke patients, with the strongest associations at lag 1-2 days.",not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"The odds of all-cause, cardiovascular, and stroke-specific mortality increased by 17.6 % (OR 1.18, 95 % CI: 1.12-1.24), 22.1 % (OR 1.22, 95 % CI: 1.15-1.29), and 25.6 % (OR 1.26, 95 % CI: 1.17-1.35), respectively.",PMID: 41046702,"Effect of built environment on the association between nighttime heat exposure and mortality in stroke patients: A case-crossover study in Shandong Province, China",medium,pending,
clin-0329,cross-sectional clinical / observational study,participants attending clinical examination at the 4-year follow-up and from all participants attending clinical examination at the 24-year follow-up,not specified,air pollution and metabolites in children and young adults in a Swedish birth cohort,asthma,cross-sectional analysis,positive association,AP exposure was overall positively associated with metabolite abundance (p < 0.002).,612 samples,612 samples,not specified,not specified,not specified,not specified,not specified,not extracted,"At the 4-year follow-up, the first-year-of-life and prior-year AP exposures were positively associated with 8 purine/pyrimidine derivative metabolites (e.g., an increase of 2.8 μg/m (interquartile range) in PM during the first year of life was associated with a 1.21-fold increase in 1,7-dimethylxanthine, p = 3.87E-05).",PMID: 41044397,Long-term exposure to air pollution and metabolites in children and young adults in a Swedish birth cohort,medium,pending,
clin-0330,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,preterm birth; immune,retrospective EHR-based cohort study,positive association,not extracted,not reported,not reported,not specified,electronic health records,not specified,not specified,not specified,negative binomial regression; linear regression,Black carbon exposure during gestational months 3-5 was associated with increased odds of sPTB.,PMID: 41033124,Gestational fine particulate matter exposures and spontaneous preterm birth: Elucidating mechanisms using placental transcriptome and metabolome signatures,medium,pending,
clin-0331,clinical / observational study,study participants,not specified,four size-segregated UFP metrics and stroke occurrence,clinical / health outcome described in the abstract,case-crossover study,positive association,"The odds ratios (95 % confidence intervals) of strokes for each interquartile range increase in lag 0-6 days of UFPs were 4.76 % (1.06; 8.60) for PNC, 3.99 % (0.93; 7.13) for PMC, 4.52 % (1.11; 8.05) for PLC, and 4.14 % (1.00; 7.38) for PSC.","19,518 cases","19,518 cases",2006-2020,not specified,not specified,not specified,not specified,logistic regression,The cumulative effects of UFP were more pronounced for ischemic strokes and minor strokes with a lower severity.,PMID: 41033071,Short-term effects of ultrafine particles on stroke events: an assessment using four different exposure metrics,high,pending,
clin-0332,clinical / observational study,participants from the Japan Environment and Children's Study sub-cohort,not specified,per- and polyfluoroalkyl substances and childhood neurodevelopment up to age 4: The Japan environment and children's study,neurodevelopment,cohort study,not extracted,not extracted,"4,585 participants","4,585 participants",not specified,main cohort,not specified,not specified,main cohort,regression models; adjustment for relevant covariates were used,"The study included 4,585 participants from the Japan Environment and Children's Study sub-cohort.",PMID: 41027199,Associations between maternal exposure to per- and polyfluoroalkyl substances and childhood neurodevelopment up to age 4: The Japan environment and children's study,high,pending,
clin-0333,clinical trial / intervention study,older adults,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,2011-2020,not specified,not specified,not specified,not specified,linear mixed models,"We recorded 96,189 IS cases with a dominance of females (52.5%) and patients 65 years old and over (78.8%).",PMID: 41024000,Short-term exposure to air pollution and risk of ischemic stroke requiring intravenous thrombolysis: a population-level analysis in Poland from the EP-PARTICLES study,medium,pending,
clin-0334,clinical / observational study,children ages 1.5-5 years (n = 1503) and the NIH Toolbox Picture Vocabulary Test (PVT) in children ages 3-5 years (n = 399),not specified,"per- and polyfluoroalkyl substances (PFAS) and child neurodevelopment remains inconclusive, and few studies have investigated associations of PFAS exposure with language developmen",neurodevelopment,observational study,null / no clear association,"Sex-specific results showed a small but statistically significant negative association with ASQ®-3 communication scores in females (ψ = -0.46; 95 % CI: -0.88, -0.05; p = 0.03) and positive, albeit not statistically significant, associations with PVT t-scores in males (ψ = 0.27; 95 % CI: -1.84, 2.38) and females (ψ = 0.55; 95 % CI: -1.81, 2.92)",1503,1503,not specified,not specified,not specified,not specified,not specified,regression models,"Sex-specific results showed a small but statistically significant negative association with ASQ®-3 communication scores in females (ψ = -0.46; 95 % CI: -0.88, -0.05; p = 0.03) and positive, albeit not statistically significant, associations with PVT t-scores in males (ψ = 0.27; 95 % CI: -1.84, 2.38) and females (ψ = 0.55; 95 % CI: -1.81, 2.92)",PMID: 41015090,Association between prenatal exposures to per- and polyfluoroalkyl substances and early language development in the ECHO cohort,high,pending,
