id,exposure_name,exposure_type,health_outcome,population,study_design,effect_direction,effect_estimate,sample_size,population_size,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
assoc-0066,heat/temperature,non-chemical stressor,cardiovascular,not specified,clinical registry / study design paper,unspecified,not extracted,not reported,not reported,generalized additive quasi-Poisson models,We collected daily data on cardiac-origin OHCAs from the All-Japan Utstein Registry and daily temperature and PM from monitoring networks across 47 prefectures during 2012 through 2019.,PMID: 42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study,medium,pending,
assoc-0067,particulate matter,particle mixture,cardiovascular,not specified,cohort study,unspecified,not extracted,not reported,not reported,not extracted,"The Global Burden of Disease Study 2023 (GBD 2023) used vital records and a broad set of epidemiologic data to estimate IHD death rates, risk factor exposure, and relative risk curves for risk-outcome pairs for 1990-2023 for the general population.",PMID: 42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023",medium,pending,
assoc-0068,particulate matter,particle mixture,mortality,not specified,cohort study,unspecified,not extracted,not reported,not reported,not extracted,"The Global Burden of Disease Study 2023 (GBD 2023) used vital records and a broad set of epidemiologic data to estimate IHD death rates, risk factor exposure, and relative risk curves for risk-outcome pairs for 1990-2023 for the general population.",PMID: 42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023",medium,pending,
assoc-0069,air pollution,mixture,cardiovascular,cohort participants,prospective cohort study,positive association,not extracted,"1,771 events",not reported,Cox proportional hazards models; machine learning models,"Long-term exposure to specific PM constituents was associated with increased risks of coronary heart disease and AMI, thus highlighting the need for constituent-specific air pollution control beyond PM mass.",PMID: 42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China.,medium,pending,
assoc-0070,PFAS,chemical class,cardiovascular,not applicable — review synthesizes evidence across studies/populations,narrative review,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"It also highlights key knowledge gaps and the need for robust epidemiological and multi-omics studies to validate these biomarkers, clarify causal mechanisms, and support their application in cardiovascular and environmental health surveillance",PMID: 42450330,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review,high,pending,
assoc-0071,air pollution,mixture,mortality,pregnant women/infants,not specified,unspecified,not extracted,not reported,not reported,logistic regression,"We conducted a retrospective, population-based study using the French National Hospital Discharge PMSI database (period 2018-2022).",PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France,medium,pending,
assoc-0072,air pollution,mixture,asthma,pregnant women/infants,not specified,unspecified,not extracted,not reported,not reported,logistic regression,"We conducted a retrospective, population-based study using the French National Hospital Discharge PMSI database (period 2018-2022).",PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France,medium,pending,
assoc-0073,PM2.5,particle mixture,cardiovascular,not specified,cross-sectional study,unspecified,not extracted,61 patients,not reported,not extracted,"Cross-sectional study, including 61 consecutive patients undergoing coronary angiography for suspected CAD, stratified into: ST-segment elevation myocardial infarction (STEMI, n = 19), chronic coronary syndromes (CCS, n = 20), and controls with normal coronary arteries (n = 22).",PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation,medium,pending,
assoc-0074,nanoplastics,particle/polymer mixture,cardiovascular,not specified,cross-sectional study,unspecified,not extracted,61 patients,not reported,not extracted,"Cross-sectional study, including 61 consecutive patients undergoing coronary angiography for suspected CAD, stratified into: ST-segment elevation myocardial infarction (STEMI, n = 19), chronic coronary syndromes (CCS, n = 20), and controls with normal coronary arteries (n = 22).",PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation,medium,pending,
assoc-0075,heat/temperature,non-chemical stressor,maternal/child health,"27,783 mother-child pairs from mother-child cohorts",cross-sectional study,unspecified,not extracted,"27,783 mother-child pairs",not reported,not extracted,"We analysed data from the 2024 Nigeria Demographic and Health Survey, including 27,783 mother-child pairs.",PMID: 42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study",medium,pending,
assoc-0076,PM2.5,particle mixture,mortality,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective Fine particulate matter (PM2.5; aerodynamic diameter ≤2.5 μm) is a leading contributor to the global burden of disease and is associated with substantial morbidity and mortality.",PMID: 42442744,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective",high,pending,
assoc-0077,PM2.5,particle mixture,autism spectrum disorder,pregnant women/infants/children,case-control study,unspecified,not extracted,not reported,not reported,logistic regression,"All participants were recruited exclusively from the Xinyang Central Hospital, and covariates were ascertained through structured clinical interviews.",PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study,medium,pending,
assoc-0078,black carbon,particle component,autism spectrum disorder,pregnant women/infants/children,case-control study,unspecified,not extracted,not reported,not reported,logistic regression,"All participants were recruited exclusively from the Xinyang Central Hospital, and covariates were ascertained through structured clinical interviews.",PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study,medium,pending,
assoc-0079,PM2.5,particle mixture,folate status,pregnant women/infants,prospective cohort study,unspecified,not extracted,not reported,not reported,weighted quantile sum regression,We enrolled pregnant women ( = 1983) in 10 cities in Canada from 2008 to 2011 in a prospective cohort.,PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011",medium,pending,
assoc-0080,nitrogen dioxide (NO2),single pollutant,folate status,pregnant women/infants,prospective cohort study,unspecified,not extracted,not reported,not reported,weighted quantile sum regression,We enrolled pregnant women ( = 1983) in 10 cities in Canada from 2008 to 2011 in a prospective cohort.,PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011",medium,pending,
assoc-0081,PM2.5,particle mixture,autism spectrum disorder,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,"We analyzed data from 8,035 mother-child pairs from 44 United States cohorts in the Environmental influences on Child Health Outcomes (ECHO) Cohort.",PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium,high,pending,
assoc-0082,PM2.5,particle mixture,autism-related traits,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,"We analyzed data from 8,035 mother-child pairs from 44 United States cohorts in the Environmental influences on Child Health Outcomes (ECHO) Cohort.",PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium,high,pending,
assoc-0083,nitrogen dioxide (NO2),single pollutant,autism spectrum disorder,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,"We analyzed data from 8,035 mother-child pairs from 44 United States cohorts in the Environmental influences on Child Health Outcomes (ECHO) Cohort.",PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium,high,pending,
assoc-0084,nitrogen dioxide (NO2),single pollutant,autism-related traits,not applicable — review synthesizes evidence across studies/populations,review / perspective,review-level association evidence; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),meta-analysis / review synthesis; exact statistical methods not fully extracted from abstract,"We analyzed data from 8,035 mother-child pairs from 44 United States cohorts in the Environmental influences on Child Health Outcomes (ECHO) Cohort.",PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium,high,pending,
assoc-0085,PFAS,chemical class,thyroid,pregnant women/infants,not specified,unspecified,not extracted,911 women,not reported,linear regression; quantile regression; Bayesian kernel machine regression; quantile g-computation,A total of 911 pregnant women from a birth cohort in Zhejiang Province were included.,PMID: 42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status,medium,pending,
assoc-0086,PFOS,single chemical,thyroid,pregnant women/infants,not specified,unspecified,not extracted,911 women,not reported,linear regression; quantile regression; Bayesian kernel machine regression; quantile g-computation,A total of 911 pregnant women from a birth cohort in Zhejiang Province were included.,PMID: 42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status,medium,pending,
assoc-0087,nitrogen dioxide (NO2),single pollutant,asthma,not applicable — review synthesizes evidence across studies/populations,narrative review,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"The majority of analyses used regression-based methods, supplemented by mixed-effects and generalised estimating equation models.",PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review,high,pending,
assoc-0088,nitrogen dioxide (NO2),single pollutant,respiratory,not applicable — review synthesizes evidence across studies/populations,narrative review,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"The majority of analyses used regression-based methods, supplemented by mixed-effects and generalised estimating equation models.",PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review,high,pending,
assoc-0089,particulate matter,particle mixture,asthma,not applicable — review synthesizes evidence across studies/populations,narrative review,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"The majority of analyses used regression-based methods, supplemented by mixed-effects and generalised estimating equation models.",PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review,high,pending,
assoc-0090,particulate matter,particle mixture,respiratory,not applicable — review synthesizes evidence across studies/populations,narrative review,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"The majority of analyses used regression-based methods, supplemented by mixed-effects and generalised estimating equation models.",PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review,high,pending,
assoc-0091,air pollution,mixture,kidney,older adults,cohort study,unspecified,not extracted,7400 adults,not reported,Cox proportional hazards models,"This population-based cohort study used data from the China Health and Retirement Longitudinal Study (CHARLS, 2011-2018), matching air pollutant data from the China High Air Pollutants dataset.",PMID: 42416905,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study,medium,pending,
assoc-0092,air pollution,mixture,cardiovascular,older adults,cohort study,unspecified,not extracted,7400 adults,not reported,Cox proportional hazards models,"This population-based cohort study used data from the China Health and Retirement Longitudinal Study (CHARLS, 2011-2018), matching air pollutant data from the China High Air Pollutants dataset.",PMID: 42416905,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study,medium,pending,
assoc-0093,PM2.5,particle mixture,cardiovascular,not specified,case-crossover study,unspecified,not extracted,not reported,not reported,not extracted,"Using wind-driven variation in wildfire-specific PM within a space-time-stratified case-crossover framework, we estimated the effects of exposure on hospitalization costs and length of stay.",PMID: 42414291,Causal effects of wildfire particulate matter on hospital costs and length of stay in Brazil.,medium,pending,
assoc-0094,PM2.5,particle mixture,asthma,not specified,case-crossover study,unspecified,not extracted,not reported,not reported,not extracted,"Using wind-driven variation in wildfire-specific PM within a space-time-stratified case-crossover framework, we estimated the effects of exposure on hospitalization costs and length of stay.",PMID: 42414291,Causal effects of wildfire particulate matter on hospital costs and length of stay in Brazil.,medium,pending,
assoc-0095,heat/temperature,non-chemical stressor,cardiovascular,older adults,not specified,unspecified,not extracted,not reported,not reported,not extracted,"The recommendations were developed through a three-step process: (1) a systematic online search of relevant guidelines, professional and governmental publications, and information from patient organisations; (2) an interdisciplinary expert workshop to refine and adapt recommendations for the target group; (3) a modified Delphi process with experts to finalise recommendations through multiple feedback rounds..",PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older,medium,pending,
assoc-0096,heat/temperature,non-chemical stressor,respiratory,older adults,not specified,unspecified,not extracted,not reported,not reported,not extracted,"The recommendations were developed through a three-step process: (1) a systematic online search of relevant guidelines, professional and governmental publications, and information from patient organisations; (2) an interdisciplinary expert workshop to refine and adapt recommendations for the target group; (3) a modified Delphi process with experts to finalise recommendations through multiple feedback rounds..",PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older,medium,pending,
assoc-0097,air pollution,mixture,cardiovascular,older adults,not specified,unspecified,not extracted,not reported,not reported,not extracted,"The recommendations were developed through a three-step process: (1) a systematic online search of relevant guidelines, professional and governmental publications, and information from patient organisations; (2) an interdisciplinary expert workshop to refine and adapt recommendations for the target group; (3) a modified Delphi process with experts to finalise recommendations through multiple feedback rounds..",PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older,medium,pending,
assoc-0098,air pollution,mixture,respiratory,older adults,not specified,unspecified,not extracted,not reported,not reported,not extracted,"The recommendations were developed through a three-step process: (1) a systematic online search of relevant guidelines, professional and governmental publications, and information from patient organisations; (2) an interdisciplinary expert workshop to refine and adapt recommendations for the target group; (3) a modified Delphi process with experts to finalise recommendations through multiple feedback rounds..",PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older,medium,pending,
assoc-0099,heat/temperature,non-chemical stressor,preterm birth,pregnant women/infants,placebo-controlled randomized trial,unspecified,not extracted,not reported,not reported,not extracted,"Physio-HeMAB is an interventional, cluster-randomized study hosted by the Health and Demographic Surveillance System in Navrongo, Ghana.",PMID: 42410409,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial,medium,pending,
assoc-0100,heat/temperature,non-chemical stressor,pregnancy outcomes,pregnant women/infants,placebo-controlled randomized trial,unspecified,not extracted,not reported,not reported,not extracted,"Physio-HeMAB is an interventional, cluster-randomized study hosted by the Health and Demographic Surveillance System in Navrongo, Ghana.",PMID: 42410409,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial,medium,pending,
assoc-0101,nitrogen dioxide (NO2),single pollutant,birth weight,pregnant women/infants,cohort study,unspecified,not extracted,not reported,not reported,mixed-effects models; deep learning,"METHODS AND ANALYSIS: We will carry out a retrospective population-based cohort study to assess differences in rates of preterm delivery, low birth weight, small-for-gestational-age births, congenital anomalies and stillbirths.",PMID: 42403579,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study,medium,pending,
assoc-0102,ozone (O3),single pollutant,birth weight,pregnant women/infants,cohort study,unspecified,not extracted,not reported,not reported,mixed-effects models; deep learning,"METHODS AND ANALYSIS: We will carry out a retrospective population-based cohort study to assess differences in rates of preterm delivery, low birth weight, small-for-gestational-age births, congenital anomalies and stillbirths.",PMID: 42403579,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study,medium,pending,
